"ID";"method";"file";"N";"M";"SD";"kvar_obj";"kmeans_obj";"means_obj";"sd_obj";"skew_obj";"kur_obj";"cor_obj"
"A0K4T7I8";"diversity";"N72_M4_SD1_r0.3_A0K4T7I8";72;4;"0.3";557.486141821765;274.442384680416;0.020610242005812;0.108153979522656;0.31616896315357;0.717782372066776;0.0515229859425885
"A0K4T7I8";"k-means";"N72_M4_SD1_r0.3_A0K4T7I8";72;4;"0.3";555.850972370459;274.472164388544;0.00720592477635102;0.145929471531722;0.50044242684415;1.20118417935441;0.34321414130677
"A0K4T7I8";"kplus";"N72_M4_SD1_r0.3_A0K4T7I8";72;4;"0.3";561.880243784703;274.471427938361;0.00620997696829567;0.00532407448480041;0.754790454702798;1.2057208987904;0.211092011991705
"A0K4T7I8";"kplus-correlation";"N72_M4_SD1_r0.3_A0K4T7I8";72;4;"0.3";561.866987607571;274.466430217723;0.00691218310121915;0.00972697090826169;0.54857365755209;1.35705911529631;0.0204214710829147
"A0K4T7I8";"kplus-skew-kurtosis";"N72_M4_SD1_r0.3_A0K4T7I8";72;4;"0.3";561.795498846793;274.455913419645;0.0165372946325038;0.0150496831685236;0.356689198504937;1.16038059475328;0.210981613144745
"A0K4T7I8";"random";"N72_M4_SD1_r0.3_A0K4T7I8";72;4;"0.3";556.116947393086;265.688437837073;0.306646341497096;0.134389332551576;0.357396436887005;0.776026817977066;0.182232175802697
"A0N5Z9C6";"diversity";"N252_M5_SD1_r0.5_A0N5Z9C6";252;5;"0.5";2264.83803296035;1177.0213219373;0.00398100137554733;0.0152776180860155;0.114584270071333;0.222835207349256;0.0234966725111427
"A0N5Z9C6";"k-means";"N252_M5_SD1_r0.5_A0N5Z9C6";252;5;"0.5";2250.8104917188;1177.02709059685;0.000871177670432381;0.0976298546602557;0.272502961004691;0.417997318806503;0.130998947056321
"A0N5Z9C6";"kplus";"N252_M5_SD1_r0.5_A0N5Z9C6";252;5;"0.5";2265.12831294479;1177.02629760777;0.00146440637477103;0.000615889095934508;0.254791342285347;0.59212033455583;0.0545139035069069
"A0N5Z9C6";"kplus-correlation";"N252_M5_SD1_r0.5_A0N5Z9C6";252;5;"0.5";2265.12506144355;1177.02299540013;0.0024622817328156;0.00147480826091104;0.175522250839893;0.572942707502724;0.00336286198017862
"A0N5Z9C6";"kplus-skew-kurtosis";"N252_M5_SD1_r0.5_A0N5Z9C6";252;5;"0.5";2265.11779216953;1177.0234289346;0.00275443750578334;0.00267664015292433;0.0270741279150921;0.173447842638106;0.0542187986727897
"A0N5Z9C6";"random";"N252_M5_SD1_r0.5_A0N5Z9C6";252;5;"0.5";2256.1977116515;1171.39052233764;0.108828619419514;0.0613248090339327;0.384872512847076;0.563520075986342;0.0623927289675167
"A0O6S1X9";"diversity";"N72_M3_SD2_r0.4_A0O6S1X9";72;3;"0.4";7063.01123865484;852.062522873105;0.0196030302976658;0.0843937607082543;0.173798404528281;0.669244211667329;0.0701319657419059
"A0O6S1X9";"k-means";"N72_M3_SD2_r0.4_A0O6S1X9";72;3;"0.4";7025.47298030071;852.088185227538;0.00304350156139372;0.203632480668292;0.47701819924729;0.731604249527733;0.185783436346796
"A0O6S1X9";"kplus";"N72_M3_SD2_r0.4_A0O6S1X9";72;3;"0.4";7070.28065916743;852.08847157161;0.00327313795855113;0.00510934119613027;0.484334165709261;0.478218449057129;0.0713290958308987
"A0O6S1X9";"kplus-correlation";"N72_M3_SD2_r0.4_A0O6S1X9";72;3;"0.4";7070.07836168094;852.069384087667;0.01871245792104;0.010122583937261;0.384297031445377;0.550014677244701;0.0108763617552986
"A0O6S1X9";"kplus-skew-kurtosis";"N72_M3_SD2_r0.4_A0O6S1X9";72;3;"0.4";7070.20351393025;851.997433807996;0.031107418743022;0.0116452476360509;0.182653437291962;0.176236465551944;0.312627878557082
"A0O6S1X9";"random";"N72_M3_SD2_r0.4_A0O6S1X9";72;3;"0.4";6900.84769695579;849.150666719364;0.211877547145313;0.452899196650386;0.756489297534603;0.698140018971472;0.193320445623535
"A0V2O7I4";"diversity";"N24_M4_SD3_r0.4_A0V2O7I4";24;4;"0.4";9738.10749147938;773.591584488223;0.247368913510486;0.210098619421228;0.397292801740701;0.58120795714364;0.142192307807061
"A0V2O7I4";"k-means";"N24_M4_SD3_r0.4_A0V2O7I4";24;4;"0.4";9370.949989969;775.04598153184;0.105096250930185;0.775058558003403;0.390292142249646;0.326534013068012;0.289484132131057
